ISO_code,country,year,HFI 2018,GDP-PPP-PC 2018,POP 2018,GDP-GROWTH,GDP-GROWTH-2008,DI
GUY,Guyana,2018,7,12477.58,779007,4.440980724,1.605258868,6.67
HTI,Haiti,2008,7.28,2758.58,11123183,,,4.91
HTI,Haiti,2010,6.58,2735.283617,11123183,,,4.91
HTI,Haiti,2012,6.69,2833.777734,11123183,,,4.91
HTI,Haiti,2014,7.17,2935.219925,11123183,,,4.91
HTI,Haiti,2016,6.83,2952.617094,11123183,,,4.91
HTI,Haiti,2018,6.68,2992.31,11123183,1.667826664,2.478297341,4.91
HND,Honduras,2008,7.27,5011.61,9587523,,,5.63
HND,Honduras,2010,6.76,4866.973931,9587523,,,5.63
HND,Honduras,2012,6.41,5065.456999,9587523,,,5.63
HND,Honduras,2014,6.53,5177.415197,9587523,,,5.63
HND,Honduras,2016,6.73,5395.614551,9587523,,,5.63
HND,Honduras,2018,6.94,5680.36,9587523,3.84499477,2.127917031,5.63
HKG,"Hong Kong SAR, China",2008,8.99,49788.81,7451000,,,6.15
HKG,"Hong Kong SAR, China",2010,8.93,51360.96698,7451000,,,6.15
HKG,"Hong Kong SAR, China",2012,9.04,53785.15301,7451000,,,6.15
HKG,"Hong Kong SAR, China",2014,9.06,56359.29899,7451000,,,6.15
HKG,"Hong Kong SAR, China",2016,8.69,58096.29926,7451000,,,6.15
HKG,"Hong Kong SAR, China",2018,8.74,61062.95,7451000,2.846447939,2.127917031,6.15
HUN,Hungary,2008,8.14,25792.7,9775564,,,6.63
HUN,Hungary,2010,8.1,24427.62873,9775564,,,6.63
HUN,Hungary,2012,7.9,24754.22591,9775564,,,6.63
HUN,Hungary,2014,7.92,26424.7204,9775564,,,6.63
HUN,Hungary,2016,7.88,28170.82136,9775564,,,6.63
HUN,Hungary,2018,7.61,31095.56,9775564,5.399709209,1.05828925,6.63
ISL,Iceland,2008,8.19,52999.44,352721,,,9.58
ISL,Iceland,2010,7.89,47457.62292,352721,,,9.58
ISL,Iceland,2012,8.11,48440.25508,352721,,,9.58
ISL,Iceland,2014,8.22,50450.74161,352721,,,9.58
ISL,Iceland,2016,8.37,54665.76392,352721,,,9.58
ISL,Iceland,2018,8.39,56722.12,352721,4.892180731,2.209496419,9.58
IND,India,2008,6.55,3720.09,1352642283,,,7.23
IND,India,2010,6.56,4234.979573,1352642283,,,7.23
IND,India,2012,6.98,4583.173199,1352642283,,,7.23
IND,India,2014,6.76,5116.629105,1352642283,,,7.23
